Z X G S
0 2 2 1
0 2 2 1
1 2 2 1
1 2 2 1
2 2 2 1
2 2 2 1
3 2 2 1
3 2 2 1
3 2 2 1
4 1 2 1
4 2 2 1
4 2 2 1
4 3 2 1
5 2 2 1
5 2 2 1
6 2 2 1
6 2 2 1
6 2 2 1
6 3 2 1
6 3 2 1
6 3 2 1
6 3 2 1
7 1 2 1
7 1 2 1
7 2 2 1
7 2 2 1
7 2 2 1
7 2 2 1
7 2 2 1
7 3 2 1
7 3 2 1
8 2 2 1
8 2 2 1
8 2 2 1
8 2 2 1
8 2 2 1
8 2 2 1
8 3 2 1
8 3 2 1
9 1 2 1
9 1 2 1
9 2 2 1
9 2 2 1
0 2 2 2
0 2 2 2
1 1 2 2
2 1 2 2
2 1 2 2
4 1 2 2
4 2 2 2
4 3 2 2
5 1 2 2
5 2 2 2
6 2 2 2
6 2 2 2
6 2 2 2
7 2 2 2
7 3 2 2
7 3 2 2
8 1 2 2
8 2 2 2
8 2 2 2
8 2 2 2
9 2 2 2
0 2 2 3
2 2 2 3
3 2 2 3
3 3 2 3
5 2 2 3
5 2 2 3
5 2 2 3
5 2 2 3
6 1 2 3
6 1 2 3
6 2 2 3
6 2 2 3
6 3 2 3
6 3 2 3
7 3 2 3
8 2 2 3
8 2 2 3
8 2 2 3
9 2 2 3
9 2 2 3
3 1 2 4
5 1 2 4
5 1 2 4
5 3 2 4
6 1 2 4
6 1 2 4
7 2 2 4
8 2 2 4
8 2 2 4
8 3 2 4
9 2 2 4
9 2 2 4
9 3 2 4
9 3 2 4
10 1 2 4
11 2 2 4
1 1 1 5
5 1 1 5
7 1 1 5
7 1 1 5
8 1 1 5
9 2 1 5
9 2 1 5
9 2 1 5
9 2 1 5
9 2 1 5
9 2 1 5
9 2 1 5
0 2 1 6
1 2 1 6
2 2 1 6
3 2 1 6
5 2 1 6
0 1 1 7
0 1 1 7
1 1 1 7
1 1 1 7
2 2 1 7
2 2 1 7
3 1 1 7
3 2 1 7
4 1 1 7
4 1 1 7
4 1 1 7
4 1 1 7
5 1 1 7
5 2 1 7
6 1 1 7
6 2 1 7
7 1 1 7
7 1 1 7
7 1 1 7
7 2 1 7
7 3 1 7
7 3 1 7
8 1 1 7
8 1 1 7
8 1 1 7
8 2 1 7
8 2 1 7
8 2 1 7
8 3 1 7
9 1 1 7
9 1 1 7
9 1 1 7
9 2 1 7
9 2 1 7
9 2 1 7
9 2 1 7
10 2 1 7
10 2 1 7
10 2 1 7
10 3 1 7
11 1 1 7
11 1 1 7
11 2 1 7
11 2 1 7
1 2 1 8
2 2 1 8
4 1 1 8
4 1 1 8
4 2 1 8
5 1 1 8
6 1 1 8
6 2 1 8
6 2 1 8
6 3 1 8
8 1 1 8
8 2 1 8
8 2 1 8
8 3 1 8
8 3 1 8
10 2 1 8
10 3 1 8
11 3 1 8
11 3 1 8
0 1 1 9
0 2 1 9
1 1 1 9
2 1 1 9
3 1 1 9
5 1 1 9
5 1 1 9
6 1 1 9
7 1 1 9
7 2 1 9
8 1 1 9
8 2 1 9
8 2 1 9
10 3 1 9
11 2 1 9
12 3 1 9
0 1 2 10
1 1 2 10
4 1 2 10
5 1 2 10
5 1 2 10
6 1 2 10
6 3 2 10
7 2 2 10
7 2 2 10
8 2 2 10
5 2 2 11
5 2 2 11
5 2 2 11
6 2 2 11
6 3 2 11
6 3 2 11
6 3 2 11
9 2 2 11
9 2 2 11
0 2 2 12
0 2 2 12
2 2 2 12
2 2 2 12
2 2 2 12
3 1 2 12
3 2 2 12
3 2 2 12
3 3 2 12
4 1 2 12
4 1 2 12
4 2 2 12
5 1 2 12
5 2 2 12
5 2 2 12
5 2 2 12
5 2 2 12
5 3 2 12
6 1 2 12
6 1 2 12
6 2 2 12
6 2 2 12
6 2 2 12
6 3 2 12
6 3 2 12
6 3 2 12
6 3 2 12
7 1 2 12
7 1 2 12
7 2 2 12
7 2 2 12
7 2 2 12
7 2 2 12
7 2 2 12
7 2 2 12
7 3 2 12
7 3 2 12
7 3 2 12
9 2 2 12
9 2 2 12
9 2 2 12
9 3 2 12
6 2 2 13
7 1 2 13
7 1 2 13
8 1 2 13
3 1 2 14
5 1 2 14
8 1 2 15
8 3 2 15
4 2 2 16
6 2 2 16
7 2 2 16
7 4 2 16
9 4 2 16
2 1 2 17
2 2 2 17
2 2 2 17
3 2 2 17
3 2 2 17
3 2 2 17
4 1 2 17
6 2 2 17
6 2 2 17
6 3 2 17
7 1 2 17
7 2 2 17
7 2 2 17
8 2 2 17
8 2 2 17
8 2 2 17
8 3 2 17
8 3 2 17
9 2 2 17
10 2 2 17
11 3 2 17
11 4 2 17
0 2 2 18
2 2 2 18
2 2 2 18
4 3 2 18
5 1 2 18
5 2 2 18
5 2 2 18
6 1 2 18
6 1 2 18
6 2 2 18
7 1 2 18
7 1 2 18
7 2 2 18
7 2 2 18
7 2 2 18
7 3 2 18
7 3 2 18
7 3 2 18
7 3 2 18
8 2 2 18
8 3 2 18
5 1 2 19
7 2 2 19
7 2 2 19
0 2 2 20
2 2 2 20
3 2 2 20
3 2 2 20
3 3 2 20
4 1 2 20
4 1 2 20
4 2 2 20
5 1 2 20
5 1 2 20
8 1 2 20
8 3 2 20
8 3 2 20
9 1 2 20
9 4 2 20
10 2 2 20
11 2 2 20
11 2 2 20
11 2 2 20
11 3 2 20
0 1 2 21
0 2 2 21
1 2 2 21
1 2 2 21
1 3 2 21
2 2 2 21
4 1 2 21
4 1 2 21
4 1 2 21
4 1 2 21
5 1 2 21
5 2 2 21
5 2 2 21
6 1 2 21
6 2 2 21
7 1 2 21
7 1 2 21
7 2 2 21
7 2 2 21
7 2 2 21
7 2 2 21
7 3 2 21
7 3 2 21
8 1 2 21
8 1 2 21
8 2 2 21
8 2 2 21
8 3 2 21
8 3 2 21
8 3 2 21
8 3 2 21
8 3 2 21
9 1 2 21
9 3 2 21
10 2 2 21
10 3 2 21
2 1 2 22
2 2 2 22
3 2 2 22
5 1 2 22
5 1 2 22
5 1 2 22
5 1 2 22
5 2 2 22
6 1 2 22
6 2 2 22
7 1 2 22
7 1 2 22
7 2 2 22
7 3 2 22
8 1 2 22
8 2 2 22
8 3 2 22
9 3 2 22
1 2 1 23
2 1 1 23
5 1 1 23
6 1 1 23
6 2 1 23
7 2 1 23
7 2 1 23
7 3 1 23
8 1 1 23
8 2 1 23
9 3 1 23
10 1 1 23
10 2 1 23
12 2 1 23
0 2 1 24
7 1 1 24
7 3 1 24
6 1 1 25
6 2 1 25
6 3 1 25
7 3 1 25
8 1 1 25
8 2 1 25
9 1 1 25
9 2 1 25
0 2 1 26
1 1 1 26
4 1 1 26
5 1 1 26
5 1 1 26
6 2 1 26
8 1 1 26
8 1 1 26
8 2 1 26
8 3 1 26
9 1 1 26
9 2 1 26
9 3 1 26
10 2 1 26
10 2 1 26
11 1 1 27
11 3 1 27
0 2 1 28
0 2 1 28
1 2 1 28
5 1 1 28
5 2 1 28
7 1 1 28
7 2 1 28
9 1 1 28
9 1 1 28
9 2 1 28
9 2 1 28
9 2 1 28
10 1 1 28
10 1 1 28
10 2 1 28
10 2 1 28
11 2 1 28
11 2 1 28
11 2 1 28
12 2 1 28
2 1 1 29
4 2 1 29
5 1 1 29
6 1 1 29
6 1 1 29
6 1 1 29
6 2 1 29
6 3 1 29
6 3 1 29
6 3 1 29
7 2 1 29
7 2 1 29
7 2 1 29
7 3 1 29
8 1 1 29
8 1 1 29
8 2 1 29
8 2 1 29
8 2 1 29
9 2 1 29
9 2 1 29
9 2 1 29
10 2 1 29
2 1 1 30
3 2 1 30
5 2 1 30
6 2 1 30
6 2 1 30
6 3 1 30
6 3 1 30
6 3 1 30
7 2 1 30
7 3 1 30
8 2 1 30
8 2 1 30
9 2 1 30
2 1 1 31
3 1 1 31
4 1 1 31
6 2 1 31
6 2 1 31
6 1 1 31
6 1 1 31
6 1 1 31
7 4 1 31
7 3 1 31
7 2 1 31
7 2 1 31
7 2 1 31
7 2 1 31
8 1 1 31
8 1 1 31
8 1 1 31
8 1 1 31
8 2 1 31
8 3 1 31
8 3 1 31
9 3 1 31
10 3 1 31
1 1 1 32
5 1 1 32
6 1 1 32
8 2 1 32
3 2 1 32
3 2 1 33
4 1 1 33
4 1 1 33
4 2 1 33
6 2 1 33
7 1 1 33
7 1 1 33
7 1 1 33
7 2 1 33
7 2 1 33
7 2 1 33
7 3 1 33
7 3 1 33
8 1 1 33
8 2 1 33
8 2 1 33
8 2 1 33
8 2 1 33
8 2 1 33
8 3 1 33
8 3 1 33
9 2 1 33
9 2 1 33
9 2 1 33
9 2 1 33
9 2 1 33
9 2 1 33
9 2 1 33
9 3 1 33
9 3 1 33
9 3 1 33
10 2 1 33
10 2 1 33
10 2 1 33
11 2 1 33
11 2 1 33
11 2 1 33
0 2 1 34
1 1 1 34
2 1 1 34
1 1 1 35
4 2 1 35
4 2 1 35
5 3 1 35
6 2 1 35
6 2 1 35
6 4 1 35
7 2 1 35
7 2 1 35
7 2 1 35
7 3 1 35
8 3 1 35
9 2 1 35
0 1 2 36
6 2 2 36
6 2 2 36
7 2 2 36
7 2 2 36
7 4 2 36
7 4 2 36
8 4 2 36
8 4 2 36
8 4 2 36
8 3 2 36
8 2 2 36
9 2 2 36
9 2 2 36
9 4 2 36
9 4 2 36
9 4 2 36
10 4 2 36
11 3 2 36
12 3 2 36
0 2 2 37
1 2 2 37
2 1 2 37
2 1 2 37
3 2 2 37
4 2 2 37
4 2 2 37
4 3 2 37
4 3 2 37
5 1 2 37
5 2 2 37
5 2 2 37
5 2 2 37
5 3 2 37
5 3 2 37
5 3 2 37
5 3 2 37
5 3 2 37
6 1 2 37
6 2 2 37
6 2 2 37
6 3 2 37
6 3 2 37
6 3 2 37
7 2 2 37
7 3 2 37
7 3 2 37
8 2 2 37
9 2 2 37
9 2 2 37
5 1 1 38
7 3 1 38
10 2 1 38
1 2 2 39
2 2 2 39
2 2 2 39
2 2 2 39
2 2 2 39
3 2 2 39
3 2 2 39
3 2 2 39
3 2 2 39
5 1 2 39
5 2 2 39
6 1 2 39
6 1 2 39
6 2 2 39
6 2 2 39
6 3 2 39
6 4 2 39
7 2 2 39
7 2 2 39
7 2 2 39
7 2 2 39
7 2 2 39
7 3 2 39
7 3 2 39
7 3 2 39
7 3 2 39
7 4 2 39
8 1 2 39
8 2 2 39
8 2 2 39
8 2 2 39
8 2 2 39
8 2 2 39
8 2 2 39
8 3 2 39
8 3 2 39
9 1 2 39
9 2 2 39
10 3 2 39
10 3 2 39
7 1 2 40
7 2 2 40
5 2 2 41
5 2 2 41
6 1 2 41
6 1 2 41
6 2 2 41
6 2 2 41
6 2 2 41
7 1 2 41
7 1 2 41
7 2 2 41
7 3 2 41
8 1 2 41
8 2 2 41
13 1 2 41
